Date,^GSPC,^RUT
2019-08-01,2953.56005859375,1550.760009765625
2019-08-02,2932.050048828125,1533.6600341796875
2019-08-05,2844.739990234375,1487.4100341796875
2019-08-06,2881.77001953125,1502.0899658203125
2019-08-07,2883.97998046875,1500.68994140625
2019-08-08,2938.090087890625,1532.1300048828125
2019-08-09,2918.64990234375,1513.0400390625
2019-08-12,2882.699951171875,1495.9000244140625
2019-08-13,2926.320068359375,1510.5799560546875
2019-08-14,2840.60009765625,1467.52001953125
2019-08-15,2847.60009765625,1461.6500244140625
2019-08-16,2888.679931640625,1493.6400146484375
2019-08-19,2923.64990234375,1508.8499755859375
2019-08-20,2900.510009765625,1498.010009765625
2019-08-21,2924.429931640625,1509.8499755859375
2019-08-22,2922.949951171875,1506.0
2019-08-23,2847.110107421875,1459.489990234375
2019-08-26,2878.3798828125,1476.0
2019-08-27,2869.159912109375,1456.0400390625
2019-08-28,2887.93994140625,1472.7099609375
2019-08-29,2924.580078125,1496.719970703125
2019-08-30,2926.4599609375,1494.8399658203125
2019-09-03,2906.27001953125,1472.280029296875
2019-09-04,2937.780029296875,1484.760009765625
2019-09-05,2976.0,1510.75
2019-09-06,2978.7099609375,1505.1700439453125
2019-09-09,2978.429931640625,1524.22998046875
2019-09-10,2979.389892578125,1541.6099853515625
2019-09-11,3000.929931640625,1575.7099609375
2019-09-12,3009.570068359375,1575.0699462890625
2019-09-13,3007.389892578125,1578.1400146484375
2019-09-16,2997.9599609375,1584.5999755859375
2019-09-17,3005.699951171875,1578.2900390625
2019-09-18,3006.72998046875,1568.3399658203125
2019-09-19,3006.7900390625,1561.469970703125
2019-09-20,2992.070068359375,1559.760009765625
2019-09-23,2991.780029296875,1558.25
2019-09-24,2966.60009765625,1533.5899658203125
2019-09-25,2984.8701171875,1550.6500244140625
2019-09-26,2977.6201171875,1533.3299560546875
2019-09-27,2961.7900390625,1520.47998046875
2019-09-30,2976.739990234375,1523.3699951171875
2019-10-01,2940.25,1493.4300537109375
2019-10-02,2887.610107421875,1479.6300048828125
2019-10-03,2910.6298828125,1486.3499755859375
2019-10-04,2952.010009765625,1500.699951171875
2019-10-07,2938.7900390625,1497.7900390625
2019-10-08,2893.06005859375,1472.5999755859375
2019-10-09,2919.39990234375,1479.4599609375
2019-10-10,2938.1298828125,1485.3599853515625
2019-10-11,2970.27001953125,1511.9000244140625
2019-10-14,2966.14990234375,1505.4300537109375
2019-10-15,2995.679931640625,1523.300048828125
2019-10-16,2989.68994140625,1525.06005859375
2019-10-17,2997.949951171875,1541.8399658203125
2019-10-18,2986.199951171875,1535.47998046875
2019-10-21,3006.719970703125,1552.4100341796875
2019-10-22,2995.989990234375,1550.8699951171875
2019-10-23,3004.52001953125,1552.8599853515625
2019-10-24,3010.2900390625,1548.489990234375
2019-10-25,3022.550048828125,1558.7099609375
2019-10-28,3039.419921875,1571.9300537109375
2019-10-29,3036.889892578125,1577.0699462890625
2019-10-30,3046.77001953125,1572.8499755859375
2019-10-31,3037.56005859375,1562.449951171875
2019-11-01,3066.909912109375,1589.3299560546875
2019-11-04,3078.27001953125,1597.4000244140625
2019-11-05,3074.6201171875,1599.6099853515625
2019-11-06,3076.780029296875,1589.5400390625
2019-11-07,3085.179931640625,1593.989990234375
2019-11-08,3093.080078125,1598.8599853515625
2019-11-11,3087.010009765625,1594.77001953125
2019-11-12,3091.840087890625,1595.1199951171875
2019-11-13,3094.0400390625,1589.1800537109375
2019-11-14,3096.6298828125,1588.7900390625
2019-11-15,3120.4599609375,1596.449951171875
2019-11-18,3122.030029296875,1592.3399658203125
2019-11-19,3120.179931640625,1598.2900390625
2019-11-20,3108.4599609375,1591.6099853515625
2019-11-21,3103.5400390625,1583.9599609375
2019-11-22,3110.2900390625,1588.93994140625
2019-11-25,3133.639892578125,1621.9000244140625
2019-11-26,3140.52001953125,1624.22998046875
2019-11-27,3153.6298828125,1634.0999755859375
2019-11-29,3140.97998046875,1624.5
2019-12-02,3113.8701171875,1607.5799560546875
2019-12-03,3093.199951171875,1602.6300048828125
2019-12-04,3112.760009765625,1613.9000244140625
2019-12-05,3117.429931640625,1614.8299560546875
2019-12-06,3145.909912109375,1633.8399658203125
2019-12-09,3135.9599609375,1629.6199951171875
2019-12-10,3132.52001953125,1631.7099609375
2019-12-11,3141.6298828125,1631.9300537109375
2019-12-12,3168.570068359375,1644.81005859375
2019-12-13,3168.800048828125,1637.97998046875
2019-12-16,3191.449951171875,1649.93994140625
2019-12-17,3192.52001953125,1657.56005859375
2019-12-18,3191.139892578125,1661.72998046875
2019-12-19,3205.3701171875,1667.0899658203125
2019-12-20,3221.219970703125,1671.9000244140625
2019-12-23,3224.010009765625,1674.1400146484375
2019-12-24,3223.3798828125,1678.010009765625
2019-12-26,3239.909912109375,1677.6700439453125
2019-12-27,3240.02001953125,1669.030029296875
2019-12-30,3221.2900390625,1664.1500244140625
2019-12-31,3230.780029296875,1668.469970703125
2020-01-02,3257.85009765625,1666.77001953125
2020-01-03,3234.85009765625,1660.8699951171875
2020-01-06,3246.280029296875,1663.260009765625
2020-01-07,3237.179931640625,1658.31005859375
2020-01-08,3253.050048828125,1663.5899658203125
2020-01-09,3274.699951171875,1664.989990234375
2020-01-10,3265.35009765625,1657.6400146484375
2020-01-13,3288.1298828125,1669.6099853515625
2020-01-14,3283.14990234375,1675.739990234375
2020-01-15,3289.2900390625,1682.4000244140625
2020-01-16,3316.81005859375,1705.219970703125
2020-01-17,3329.6201171875,1699.6400146484375
2020-01-21,3320.7900390625,1685.9000244140625
2020-01-22,3321.75,1684.4599609375
2020-01-23,3325.5400390625,1685.010009765625
2020-01-24,3295.469970703125,1662.22998046875
2020-01-27,3243.6298828125,1644.1400146484375
2020-01-28,3276.239990234375,1658.31005859375
2020-01-29,3273.39990234375,1649.219970703125
2020-01-30,3283.659912109375,1648.219970703125
2020-01-31,3225.52001953125,1614.06005859375
2020-02-03,3248.919921875,1632.2099609375
